metric,python_our_port,r_reference,abs_diff
Training SR,0.590971561087536,0.591,2.8438912463957244e-05
Validation SR,0.714913017606325,0.7149,1.3017606324994269e-05
Testing SR,0.5889916603122194,0.589,8.339687780578586e-06
