file,py_shape,r_shape,rows_matched,train_SR_max_abs_diff,valid_SR_max_abs_diff,test_SR_max_abs_diff,portsN_match_%
results_cv_3_l0_1_l2_1.csv,61x1511,66x1511,61,5.664468893940011e-12,3.0778712911683215e-12,2.0264900868482982e-12,98.36065573770492
results_full_l0_1_l2_1.csv,90x1510,90x1510,90,8.738343382219682e-12,,3.5234037909503968e-12,94.44444444444444
