factor_set,alpha,se,t_stat,p_value
FF3,1.0227399033334454,0.10327922068109718,9.902668674189888,6.084931234347814e-20
FF5,1.0304327293347018,0.10690191498357794,9.63904836964796,4.347589003001846e-19
XSF,1.0307916604630696,0.10628432500728512,9.698435403267748,2.767613314098554e-19
FF11,1.047448632195725,0.1137131500323868,9.211323685056652,1.0385757389773941e-17
