portfolio_id,perm_id,leaf_path,decoded,avg_dead_count,avg_dead_pct,selected_in_K
3111.12221,3111,12221,d=4 | Investment=hi > LME=hi > LME=hi > LME=lo,2986.6776729559747,74.45303567697994,False
3111.12222,3111,12222,d=4 | Investment=hi > LME=hi > LME=hi > LME=hi,3315.5849056603774,82.65216012642922,False
1211.11111,1211,11111,d=4 | LME=lo > OP=lo > LME=lo > LME=lo,3435.789308176101,85.64866113826275,False
1211.11112,1211,11112,d=4 | LME=lo > OP=lo > LME=lo > LME=hi,3153.289308176101,78.6063938158804,False
1211.11121,1211,11121,d=4 | LME=lo > OP=lo > LME=hi > LME=lo,3132.4261006289307,78.0863078521653,False
1211.11122,1211,11122,d=4 | LME=lo > OP=lo > LME=hi > LME=hi,3188.4103773584907,79.48190517103183,False
1211.11211,1211,11211,d=4 | LME=lo > OP=hi > LME=lo > LME=lo,3386.6776729559747,84.4243876378753,False
1211.11212,1211,11212,d=4 | LME=lo > OP=hi > LME=lo > LME=hi,3098.671383647799,77.2448574437671,False
1211.11221,1211,11221,d=4 | LME=lo > OP=hi > LME=hi > LME=lo,3096.050314465409,77.17951843543844,False
1211.11222,1211,11222,d=4 | LME=lo > OP=hi > LME=hi > LME=hi,3008.062893081761,74.98613456856853,False
1211.12111,1211,12111,d=4 | LME=hi > OP=lo > LME=lo > LME=lo,3019.5849056603774,75.27335967536665,False
1211.12112,1211,12112,d=4 | LME=hi > OP=lo > LME=lo > LME=hi,2989.7735849056603,74.53021174620558,False
1211.12121,1211,12121,d=4 | LME=hi > OP=lo > LME=hi > LME=lo,2977.9559748427673,74.23561787302127,False
1211.12122,1211,12122,d=4 | LME=hi > OP=lo > LME=hi > LME=hi,3291.606918238994,82.05442774669788,False
1211.12211,1211,12211,d=4 | LME=hi > OP=hi > LME=lo > LME=lo,3133.509433962264,78.1133135970594,False
1211.12212,1211,12212,d=4 | LME=hi > OP=hi > LME=lo > LME=hi,2964.132075471698,73.89101045776894,False
1211.12221,1211,12221,d=4 | LME=hi > OP=hi > LME=hi > LME=lo,3048.9119496855346,76.00443537023544,False
1211.12222,1211,12222,d=4 | LME=hi > OP=hi > LME=hi > LME=hi,3348.9418238993712,83.48369405665876,False
2211.11111,2211,11111,d=4 | OP=lo > OP=lo > LME=lo > LME=lo,3445.7437106918237,85.8968082658745,False
2211.11112,2211,11112,d=4 | OP=lo > OP=lo > LME=lo > LME=hi,3193.2751572327043,79.60317625187697,False
2211.11121,2211,11121,d=4 | OP=lo > OP=lo > LME=hi > LME=lo,3245.7861635220124,80.91219056570569,False
2211.11122,2211,11122,d=4 | OP=lo > OP=lo > LME=hi > LME=hi,3394.8081761006288,84.62706790906158,False
2211.11211,2211,11211,d=4 | OP=lo > OP=hi > LME=lo > LME=lo,3243.0927672955977,80.84504856134636,False
2211.11212,2211,11212,d=4 | OP=lo > OP=hi > LME=lo > LME=hi,3070.9166666666665,76.55297731478232,False
2211.11221,2211,11221,d=4 | OP=lo > OP=hi > LME=hi > LME=lo,3063.996855345912,76.38047762932675,False
2211.11222,2211,11222,d=4 | OP=lo > OP=hi > LME=hi > LME=hi,3265.9245283018868,81.41420737354825,False
2211.12111,2211,12111,d=4 | OP=hi > OP=lo > LME=lo > LME=lo,3252.9072327044023,81.08970728359442,False
2211.12112,2211,12112,d=4 | OP=hi > OP=lo > LME=lo > LME=hi,3046.5062893081763,75.94446615443289,False
2211.12121,2211,12121,d=4 | OP=hi > OP=lo > LME=hi > LME=lo,2931.0849056603774,73.06719805401856,False
2211.12122,2211,12122,d=4 | OP=hi > OP=lo > LME=hi > LME=hi,3184.946540880503,79.39555733938931,False
2211.12211,2211,12211,d=4 | OP=hi > OP=hi > LME=lo > LME=lo,3488.248427672956,86.95638199841729,False
2211.12212,2211,12212,d=4 | OP=hi > OP=hi > LME=lo > LME=hi,3249.2421383647797,80.99834241951876,False
2211.12221,2211,12221,d=4 | OP=hi > OP=hi > LME=hi > LME=lo,3120.699685534591,77.79398732180226,False
2211.12222,2211,12222,d=4 | OP=hi > OP=hi > LME=hi > LME=hi,3369.819182389937,84.0041327804668,False
3211.11111,3211,11111,d=4 | Investment=lo > OP=lo > LME=lo > LME=lo,3483.51572327044,86.83840334510637,False
3211.11112,3211,11112,d=4 | Investment=lo > OP=lo > LME=lo > LME=hi,3235.62106918239,80.65879123226547,False
3211.11121,3211,11121,d=4 | Investment=lo > OP=lo > LME=hi > LME=lo,3293.2861635220124,82.09628861106201,False
3211.11122,3211,11122,d=4 | Investment=lo > OP=lo > LME=hi > LME=hi,3381.1650943396226,84.28696798388592,False
3211.11211,3211,11211,d=4 | Investment=lo > OP=hi > LME=lo > LME=lo,3416.4748427672957,85.16718280694343,False
