pipeline,best_K,train_SR,valid_SR,test_SR
baseline,38,0.9273588288557026,1.213844234691195,0.6576760993563402
fuzzy_a5,45,0.3060451551300604,0.1672899040513892,0.2140516151294552
fuzzy_a10,21,0.6939620691960463,0.827865867991771,0.5795570615522445
fuzzy_a20,18,0.8073844477702352,1.1932890562071956,0.62205521571447
fuzzy_a50,25,0.9110739125205356,1.2406147825254414,0.7034717849506137
fuzzy_a100,22,0.8413885838750532,1.2405632815868002,0.727190588015847
fuzzy_a50_dt0001,25,0.9113591272456744,1.2405835527033884,0.7034219006099126
