file,cv,i_l0,j_l2,py_rows,r_rows,rows_cmp,train_SR_max_abs_diff,valid_SR_max_abs_diff,test_SR_max_abs_diff,portsN_match_%,beta_max_abs_diff,status
results_cv_1_l0_1_l2_1.csv,cv_1,1,1,48,48,48,8.810729923425242e-13,2.0189405702808472e-13,5.8475446707007e-13,100.0,5.138400122062237e-12,OK
results_cv_1_l0_1_l2_2.csv,cv_1,1,2,50,50,50,7.256417688950023e-13,1.0696998842263383e-13,3.858025010572419e-13,100.0,5.488401400022269e-12,OK
results_cv_1_l0_1_l2_3.csv,cv_1,1,3,54,54,54,1.9908519277578307e-12,4.0650816046650107e-13,1.5281109710940655e-12,100.0,1.672750826742231e-11,OK
results_cv_1_l0_1_l2_4.csv,cv_1,1,4,54,54,54,1.4219736499399005e-12,3.453071162340393e-13,3.7059244561987725e-13,100.0,6.59294840943403e-12,OK
results_cv_1_l0_1_l2_5.csv,cv_1,1,5,54,54,54,9.698908343125368e-13,2.8402280527473067e-13,5.504485756091526e-13,100.0,8.372080806395843e-12,OK
results_cv_1_l0_1_l2_6.csv,cv_1,1,6,58,58,58,1.425304319013776e-12,7.263911694366243e-13,2.728928194528635e-13,96.55172413793103,8.420764086025656e-12,OK
results_cv_1_l0_1_l2_7.csv,cv_1,1,7,56,56,56,1.4153123117921496e-12,5.350997422937098e-13,4.627409566637652e-13,100.0,7.812694935438458e-12,OK
results_cv_1_l0_1_l2_8.csv,cv_1,1,8,56,56,56,2.2160051571518125e-12,9.779121956654535e-13,6.483702463810914e-13,98.21428571428571,1.0573611430864105e-11,OK
results_cv_1_l0_1_l2_9.csv,cv_1,1,9,58,58,58,9.319212068703564e-13,3.2238101077552983e-13,2.4358293160275934e-13,100.0,6.518785511389069e-12,OK
results_cv_1_l0_1_l2_10.csv,cv_1,1,10,58,58,58,1.2529977055919517e-12,4.879985304739876e-13,3.093081346605686e-13,98.27586206896551,6.443401368017021e-12,OK
results_cv_1_l0_1_l2_11.csv,cv_1,1,11,58,58,58,9.36584143573782e-13,4.658773367083313e-13,2.3370194668359545e-13,100.0,1.2214699954618546e-11,OK
results_cv_1_l0_1_l2_12.csv,cv_1,1,12,58,58,58,8.626432901337466e-13,4.984068713298484e-13,2.2615243011614439e-13,100.0,8.886799282570301e-12,OK
results_cv_1_l0_1_l2_13.csv,cv_1,1,13,58,58,58,9.745537710159624e-13,3.7950198539249413e-13,2.255973186038318e-13,100.0,9.677500120708338e-12,OK
results_cv_1_l0_2_l2_1.csv,cv_1,2,1,50,50,50,1.6411316750009064e-12,7.0038419508478e-13,7.30304705598428e-13,98.0,8.043704591287337e-12,OK
results_cv_1_l0_2_l2_2.csv,cv_1,2,2,52,52,52,1.7974510768681284e-12,2.516042929556761e-13,7.588374373312945e-13,98.07692307692307,8.223297043308264e-12,OK
results_cv_1_l0_2_l2_3.csv,cv_1,2,3,50,50,50,7.73159314348959e-13,2.0378143616994748e-13,2.5568436257117355e-13,98.0,6.949607556094861e-12,OK
